origin,destination,km
PUS,MJI,9244.67
PUS,MCT,6838.0
PUS,LGG,9078.0
PUS,AMS,8960.0
PUS,FRA,8676.0
PUS,LHR,9215.03
PUS,TDG,8844.44
PUS,LUX,9053.58
HKG,BCN,10067.0
HKG,MAD,12927.0
HKG,ALG,10251.0
HKG,CAI,8130.0
HKG,TLV,7747.0
HKG,AMM,10172.0
HKG,BEY,10305.0
HKG,NKC,12975.0
HKG,CMN,14245.0
HKG,TUN,9702.0
HKG,MRS,9990.0
HKG,ATH,8638.0
HKG,FCO,9280.0
HKG,VLC,10349.0
HKG,LIS,11031.0
HKG,IST,8020.0
HKG,BKK,1721.0
HKG,BOM,4281.0
HKG,DXB,5946.0
HKG,JED,6397.0
HKG,PUS,2029.0
HKG,MLA,9353.87
HKG,TIA,8232.68
HKG,MJI,8898.46
HKG,MCT,5670.0
HKG,LGG,9351.0
HKG,AMS,9244.0
HKG,FRA,8963.0
HKG,LHR,9647.42
HKG,TDG,8738.83
HKG,LUX,9341.86
MLA,BCN,1233.52
MLA,MAD,1656.42
MLA,ALG,991.28
MLA,CAI,1511.39
MLA,TLV,1928.67
MLA,AMM,2032.15
MLA,BEY,1906.42
MLA,NKC,3541.0
MLA,CMN,2074.19
MLA,TUN,384.36
MLA,MRS,1084.95
MLA,ATH,873.47
MLA,FCO,688.93
MLA,VLC,1365.49
MLA,LIS,2063.78
MLA,IST,1380.66
MLA,BKK,8820.43
MLA,BOM,6249.35
MLA,DXB,4288.72
MLA,JED,2849.37
MLA,PUS,9764.82
MLA,HKG,9353.87
MLA,TIA,767.09
MLA,MJI,346.8
MLA,MCT,4410.0
MLA,LGG,1795.0
MLA,AMS,1982.0
MLA,FRA,1644.0
MLA,LHR,2102.82
MLA,TDG,831.25
MLA,LUX,1670.07
TIA,BCN,1473.81
TIA,MAD,1957.5
TIA,ALG,1518.94
TIA,CAI,1635.82
TIA,TLV,1705.9
TIA,AMM,2093.62
TIA,BEY,1548.32
TIA,NKC,4123.78
TIA,CMN,2560.49
TIA,TUN,1093.57
TIA,MRS,1243.29
TIA,ATH,524.61
TIA,FCO,619.7
TIA,VLC,1642.81
TIA,LIS,2595.67
TIA,IST,758.42
TIA,BKK,8095.74
TIA,BOM,5801.52
TIA,DXB,3829.21
TIA,JED,2914.36
TIA,PUS,8640.95
TIA,HKG,8232.68
TIA,MLA,767.09
TIA,MJI,1104.61
TIA,MCT,4080.0
TIA,LGG,1503.0
TIA,AMS,1657.0
TIA,FRA,1407.0
TIA,LHR,1900.8
TIA,TDG,111.91
TIA,LUX,1391.78
MJI,BCN,1361.85
MJI,MAD,1719.77
MJI,ALG,1011.77
MJI,CAI,1747.12
MJI,TLV,2030.78
MJI,AMM,2031.56
MJI,BEY,1815.34
MJI,NKC,3136.24
MJI,CMN,2127.49
MJI,TUN,533.19
MJI,MRS,1228.78
MJI,ATH,1056.34
MJI,FCO,1042.51
MJI,VLC,1365.43
MJI,LIS,2166.84
MJI,IST,1575.98
MJI,BKK,7982.65
MJI,BOM,5720.48
MJI,DXB,4238.23
MJI,JED,2563.91
MJI,PUS,9244.67
MJI,HKG,8898.46
MJI,MLA,346.8
MJI,TIA,1104.61
MJI,MCT,4500.0
MJI,LGG,2063.0
MJI,AMS,2202.0
MJI,FRA,1973.0
MJI,LHR,2345.64
MJI,TDG,1174.77
MJI,LUX,1947.99
MCT,BCN,5532.0
MCT,MAD,6006.71
MCT,ALG,5425.0
MCT,CAI,2760.03
MCT,TLV,2480.38
MCT,AMM,2370.0
MCT,BEY,2491.0
MCT,NKC,7045.92
MCT,CMN,6373.21
MCT,TUN,4355.37
MCT,MRS,5347.89
MCT,ATH,4032.11
MCT,FCO,4615.53
MCT,VLC,5757.61
MCT,LIS,6237.85
MCT,IST,3283.94
MCT,BKK,4594.0
MCT,BOM,1596.31
MCT,DXB,348.0
MCT,JED,1976.0
MCT,PUS,6838.0
MCT,HKG,5670.0
MCT,MLA,4410.0
MCT,TIA,4080.0
MCT,MJI,4500.0
MCT,LGG,5547.0
MCT,AMS,5506.0
MCT,FRA,5222.0
MCT,LHR,5839.82
MCT,TDG,4149.13
MCT,LUX,5337.59
LGG,BCN,1070.0
LGG,MAD,1329.0
LGG,ALG,1560.0
LGG,CAI,3138.0
LGG,TLV,3181.0
LGG,AMM,3273.0
LGG,BEY,3069.0
LGG,NKC,4079.0
LGG,CMN,2222.0
LGG,TUN,1493.0
LGG,MRS,782.0
LGG,ATH,2031.0
LGG,FCO,1131.0
LGG,VLC,1232.0
LGG,LIS,1592.0
LGG,IST,2009.0
LGG,BKK,9397.0
LGG,BOM,6903.0
LGG,DXB,5153.0
LGG,JED,4465.0
LGG,PUS,9078.0
LGG,HKG,9351.0
LGG,MLA,1795.0
LGG,TIA,1503.0
LGG,MJI,2063.0
LGG,MCT,5547.0
LGG,AMS,198.0
LGG,FRA,229.0
LGG,LHR,423.63
LGG,TDG,1399.66
LGG,LUX,125.24
AMS,BCN,1241.0
AMS,MAD,1461.0
AMS,ALG,1740.0
AMS,CAI,3289.0
AMS,TLV,3315.0
AMS,AMM,3405.0
AMS,BEY,3195.0
AMS,NKC,4200.0
AMS,CMN,2333.0
AMS,TUN,1611.0
AMS,MRS,984.0
AMS,ATH,2071.0
AMS,FCO,1324.0
AMS,VLC,1417.0
AMS,LIS,1866.0
AMS,IST,2197.0
AMS,BKK,9269.0
AMS,BOM,6776.0
AMS,DXB,5031.0
AMS,JED,4356.0
AMS,PUS,8960.0
AMS,HKG,9244.0
AMS,MLA,1982.0
AMS,TIA,1657.0
AMS,MJI,2202.0
AMS,MCT,5506.0
AMS,LGG,198.0
AMS,FRA,364.0
AMS,LHR,371.42
AMS,TDG,1550.84
AMS,LUX,315.49
FRA,BCN,1094.0
FRA,MAD,1423.0
FRA,ALG,1544.0
FRA,CAI,2922.0
FRA,TLV,2955.0
FRA,AMM,2934.0
FRA,BEY,2958.0
FRA,NKC,3750.0
FRA,CMN,2133.0
FRA,TUN,1427.0
FRA,MRS,750.0
FRA,ATH,1764.0
FRA,FCO,1032.0
FRA,VLC,1115.0
FRA,LIS,1520.0
FRA,IST,1915.0
FRA,BKK,8880.0
FRA,BOM,6502.0
FRA,DXB,4739.0
FRA,JED,4079.0
FRA,PUS,8676.0
FRA,HKG,8963.0
FRA,MLA,1644.0
FRA,TIA,1407.0
FRA,MJI,1973.0
FRA,MCT,5222.0
FRA,LGG,229.0
FRA,AMS,364.0
FRA,LHR,656.18
FRA,TDG,1184.06
FRA,LUX,176.24
LHR,BCN,1147.28
LHR,MAD,1245.65
LHR,ALG,1667.7
LHR,CAI,3535.0
LHR,TLV,3592.63
LHR,AMM,3687.11
LHR,BEY,3486.33
LHR,NKC,3946.96
LHR,CMN,2092.41
LHR,TUN,1830.96
LHR,MRS,989.4
LHR,ATH,2429.83
LHR,FCO,1445.09
LHR,VLC,1331.55
LHR,LIS,1564.92
LHR,IST,2493.77
LHR,BKK,9587.73
LHR,BOM,7220.26
LHR,DXB,5504.24
LHR,JED,4748.83
LHR,PUS,9215.03
LHR,HKG,9647.42
LHR,MLA,2102.82
LHR,TIA,1900.8
LHR,MJI,2345.64
LHR,MCT,5839.82
LHR,LGG,423.63
LHR,AMS,371.42
LHR,FRA,656.18
LHR,TDG,1801.75
LHR,LUX,514.49
TDG,BCN,1429.07
TDG,MAD,1913.07
TDG,ALG,1512.46
TDG,CAI,1738.97
TDG,TLV,1796.54
TDG,AMM,1894.37
TDG,BEY,1706.2
TDG,NKC,4276.0
TDG,CMN,2550.23
TDG,TUN,986.33
TDG,MRS,1150.8
TDG,ATH,633.08
TDG,FCO,583.45
TDG,VLC,1688.42
TDG,LIS,2424.95
TDG,IST,798.02
TDG,BKK,8303.87
TDG,BOM,5632.87
TDG,DXB,3803.69
TDG,JED,2949.71
TDG,PUS,8844.44
TDG,HKG,8738.83
TDG,MLA,831.25
TDG,TIA,111.91
TDG,MJI,1174.77
TDG,MCT,4149.13
TDG,LGG,1399.66
TDG,AMS,1550.84
TDG,FRA,1184.06
TDG,LHR,1801.75
TDG,LUX,1290.6
LUX,BCN,979.64
LUX,MAD,1273.03
LUX,ALG,1456.83
LUX,CAI,3027.53
LUX,TLV,3078.59
LUX,AMM,3172.78
LUX,BEY,2971.9
LUX,NKC,4021.02
LUX,CMN,2133.91
LUX,TUN,1455.55
LUX,MRS,691.53
LUX,ATH,1921.24
LUX,FCO,987.56
LUX,VLC,1243.91
LUX,LIS,1713.18
LUX,IST,1982.15
LUX,BKK,9184.36
LUX,BOM,6739.65
LUX,DXB,5000.0
LUX,JED,4239.93
LUX,PUS,9053.58
LUX,HKG,9341.86
LUX,MLA,1670.07
LUX,TIA,1391.78
LUX,MJI,1947.99
LUX,MCT,5337.59
LUX,LGG,125.24
LUX,AMS,315.49
LUX,FRA,176.24
LUX,LHR,514.49
LUX,TDG,1290.6
