origin,destination,regime
BOM,MAD,WCO
BOM,MLA,WCO
BOM,MRS,WCO
BOM,NKC,WCO
BOM,TLV,WCO
BOM,TUN,WCO
BOM,TIP,WCO
BOM,VLC,WCO
BOM,BKK,WCO
BOM,DXB,WCO
BOM,JED,WCO
BOM,PUS,WCO
BOM,HKG,WCO
BOM,MLA,WCO
BOM,TIA,WCO
BOM,AMS,WCO
DXB,ALG,WCO
DXB,AMM,WCO
DXB,ATH,WCO
DXB,BCN,WCO
DXB,BEY,WCO
DXB,CAI,WCO
DXB,CMN,WCO
DXB,FCO,WCO
DXB,IST,WCO
DXB,LIS,WCO
DXB,MAD,WCO
DXB,MLA,WCO
DXB,MRS,WCO
DXB,NKC,WCO
DXB,TLV,WCO
DXB,TUN,WCO
DXB,TIP,WCO
DXB,VLC,WCO
DXB,BKK,WCO
DXB,BOM,WCO
DXB,PUS,WCO
DXB,HKG,WCO
DXB,MLA,WCO
DXB,TIA,WCO
DXB,AMS,WCO
JED,ALG,WCO
JED,AMM,WCO
JED,ATH,WCO
JED,BCN,WCO
JED,BEY,WCO
JED,CAI,WCO
JED,CMN,WCO
JED,FCO,WCO
JED,IST,WCO
JED,LIS,WCO
JED,MAD,WCO
JED,MLA,WCO
JED,MRS,WCO
JED,NKC,WCO
JED,TLV,WCO
JED,TUN,WCO
JED,TIP,WCO
JED,VLC,WCO
JED,BKK,WCO
JED,BOM,WCO
JED,PUS,WCO
JED,HKG,WCO
JED,MLA,WCO
JED,TIA,WCO
JED,AMS,WCO
PUS,ALG,WCO
PUS,AMM,WCO
PUS,ATH,WCO
PUS,BCN,WCO
PUS,BEY,WCO
PUS,CAI,WCO
PUS,CMN,WCO
PUS,FCO,WCO
PUS,IST,WCO
PUS,LIS,WCO
PUS,MAD,WCO
PUS,MLA,WCO
PUS,MRS,WCO
PUS,NKC,WCO
PUS,TLV,WCO
PUS,TUN,WCO
PUS,TIP,WCO
PUS,VLC,WCO
PUS,BKK,WCO
PUS,BOM,WCO
PUS,DXB,WCO
PUS,JED,WCO
PUS,HKG,WCO
PUS,MLA,WCO
PUS,TIA,WCO
PUS,AMS,WCO
HKG,ALG,WCO
HKG,AMM,WCO
HKG,ATH,WCO
HKG,BCN,WCO
HKG,BEY,WCO
HKG,CAI,WCO
HKG,CMN,WCO
HKG,FCO,WCO
HKG,IST,WCO
HKG,LIS,WCO
HKG,MAD,WCO
HKG,MLA,WCO
HKG,MRS,WCO
HKG,NKC,WCO
HKG,TLV,WCO
HKG,TUN,WCO
HKG,TIP,WCO
HKG,VLC,WCO
HKG,BKK,WCO
HKG,BOM,WCO
HKG,DXB,WCO
HKG,JED,WCO
HKG,PUS,WCO
HKG,MLA,WCO
HKG,TIA,WCO
HKG,AMS,WCO
MLA,ALG,WCO
MLA,AMM,WCO
MLA,ATH,SCHENGEN
MLA,BCN,SCHENGEN
MLA,BEY,WCO
MLA,CAI,WCO
MLA,CMN,WCO
MLA,FCO,SCHENGEN
MLA,IST,WCO
MLA,LIS,SCHENGEN
MLA,MAD,SCHENGEN
MLA,MRS,SCHENGEN
MLA,NKC,WCO
MLA,TLV,WCO
MLA,TUN,WCO
MLA,TIP,WCO
